UniProt Acc,Gene Name,Protein Name
Q8IY26,PLPP6,Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6
Q8N543,OGFOD1,Prolyl 3-hydroxylase OGFOD1
Q99965,ADAM2,Disintegrin and metalloproteinase domain-containing protein 2
O15018,PDZD2,PDZ domain-containing protein 2
Q9Y664,KPTN,KICSTOR complex protein kaptin
Q9UHA2,SS18L2,SS18-like protein 2
Q9BTE1,DCTN5,Dynactin subunit 5
P25929,NPY1R,Neuropeptide Y receptor type 1
P0C860,MSL3B,MSL complex subunit 3B
Q86YR7,MCF2L2,Probable guanine nucleotide exchange factor MCF2L2
A6NK44,GLOD5,Glyoxalase domain-containing protein 5
Q8IV50,LYSMD2,LysM and putative peptidoglycan-binding domain-containing protein 2
Q92989,CLP1,Polyribonucleotide 5'-hydroxyl-kinase Clp1
P12074,COX6A1,"Cytochrome c oxidase subunit 6A1, mitochondrial"
P28472,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3
Q13203,MYBPH,Myosin-binding protein H
Q06055,ATP5MC2,"ATP synthase F(0) complex subunit C2, mitochondrial"
Q8ND24,RNF214,RING finger protein 214
O43581,SYT7,Synaptotagmin-7
P53539,FOSB,Protein FosB
Q8N573,OXR1,Oxidation resistance protein 1
Q9Y2I9,TBC1D30,TBC1 domain family member 30
Q8WXH5,SOCS4,Suppressor of cytokine signaling 4
Q6SJ93,FAM111B,Serine protease FAM111B
Q9Y6W8,ICOS,Inducible T-cell costimulator
Q8TBP0,TBC1D16,TBC1 domain family member 16
O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2
Q9NWX6,THG1L,Probable tRNA(His) guanylyltransferase
Q86UU0,BCL9L,B-cell CLL/lymphoma 9-like protein
Q96RS0,TGS1,Trimethylguanosine synthase
Q9P2D8,UNC79,Protein unc-79 homolog
P83369,LSM11,U7 snRNA-associated Sm-like protein LSm11
Q8N567,ZCCHC9,Zinc finger CCHC domain-containing protein 9
Q9BQI0,AIF1L,Allograft inflammatory factor 1-like
Q8TCT0,CERK,Ceramide kinase
Q96CC6,RHBDF1,Inactive rhomboid protein 1
Q8N8U2,CDYL2,Chromodomain Y-like protein 2
Q9UIS9,MBD1,Methyl-CpG-binding domain protein 1
Q9UPV0,CEP164,Centrosomal protein of 164 kDa
Q9BYC5,FUT8,"Alpha-(1,6)-fucosyltransferase"
Q96M96,FGD4,"FYVE, RhoGEF and PH domain-containing protein 4"
Q92859,NEO1,Neogenin
Q2TV78,MST1L,Putative macrophage stimulating 1-like protein
Q3T8J9,GON4L,GON-4-like protein
O00294,TULP1,Tubby-related protein 1
Q9H0R4,HDHD2,Haloacid dehalogenase-like hydrolase domain-containing protein 2
P10109,FDX1,"Adrenodoxin, mitochondrial"
Q75MW2,ZNF767P,Protein ZNF767
O00461,GOLIM4,Golgi integral membrane protein 4
Q92833,JARID2,Protein Jumonji
Q9Y2H5,PLEKHA6,Pleckstrin homology domain-containing family A member 6
P21817,RYR1,Ryanodine receptor 1
Q8NCF5,NFATC2IP,NFATC2-interacting protein
Q9H3C7,GGNBP2,Gametogenetin-binding protein 2
Q6ZS81,WDFY4,WD repeat- and FYVE domain-containing protein 4
Q8TAE6,PPP1R14C,Protein phosphatase 1 regulatory subunit 14C
Q8IV48,ERI1,3'-5' exoribonuclease 1
P86452,ZBED6,Zinc finger BED domain-containing protein 6
Q8N9A8,CNEP1R1,Nuclear envelope phosphatase-regulatory subunit 1
Q9UH03,SEPTIN3,Neuronal-specific septin-3
Q15361,TTF1,Transcription termination factor 1
Q96MF7,NSMCE2,E3 SUMO-protein ligase NSE2
Q6P1K8,GTF2H2C_2,General transcription factor IIH subunit 2-like protein
Q8TDW4,ST7L,Suppressor of tumorigenicity 7 protein-like
P02489,CRYAA,Alpha-crystallin A chain
Q6RSH7,VHLL,von Hippel-Lindau-like protein
Q5T215,TRAPPC3L,Trafficking protein particle complex subunit 3-like protein
Q9UJW3,DNMT3L,DNA (cytosine-5)-methyltransferase 3-like
Q96JQ0,DCHS1,Protocadherin-16
Q16769,QPCT,Glutaminyl-peptide cyclotransferase
Q9UJA2,CRLS1,Cardiolipin synthase (CMP-forming)
Q96D59,RNF183,E3 ubiquitin-protein ligase RNF183
Q9H790,EXO5,Exonuclease V
Q7L7V1,DHX32,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32
Q6P4F7,ARHGAP11A,Rho GTPase-activating protein 11A
Q71F56,MED13L,Mediator of RNA polymerase II transcription subunit 13-like
Q6ZRQ5,MMS22L,Protein MMS22-like
Q9Y5J9,TIMM8B,Mitochondrial import inner membrane translocase subunit Tim8 B
Q9NX08,COMMD8,COMM domain-containing protein 8
Q96MK3,FAM20A,Pseudokinase FAM20A
Q8N8N0,RNF152,E3 ubiquitin-protein ligase RNF152
Q9HC16,APOBEC3G,DNA dC->dU-editing enzyme APOBEC-3G
Q86VX2,COMMD7,COMM domain-containing protein 7
Q9BYX2,TBC1D2,TBC1 domain family member 2A
Q9H0A8,COMMD4,COMM domain-containing protein 4
Q8WV24,PHLDA1,Pleckstrin homology-like domain family A member 1
Q9GZQ3,COMMD5,COMM domain-containing protein 5
Q7Z7B0,FILIP1,Filamin-A-interacting protein 1
Q9NY99,SNTG2,Gamma-2-syntrophin
Q86YR5,GPSM1,G-protein-signaling modulator 1
Q5JXC2,MIIP,Migration and invasion-inhibitory protein
Q9BXY4,RSPO3,R-spondin-3
Q9NSK7,C19orf12,Protein C19orf12
Q16553,LY6E,Lymphocyte antigen 6E
O75334,PPFIA2,Liprin-alpha-2
P01588,EPO,Erythropoietin
P06729,CD2,T-cell surface antigen CD2
Q9ULX9,MAFF,Transcription factor MafF
P01303,NPY,Pro-neuropeptide Y
O95190,OAZ2,Ornithine decarboxylase antizyme 2
Q15649,ZNHIT3,Zinc finger HIT domain-containing protein 3
Q14565,DMC1,Meiotic recombination protein DMC1/LIM15 homolog
Q13507,TRPC3,Short transient receptor potential channel 3
P32297,CHRNA3,Neuronal acetylcholine receptor subunit alpha-3
Q5XXA6,ANO1,Anoctamin-1
Q9Y330,ZBTB12,Zinc finger and BTB domain-containing protein 12
Q9H4M3,FBXO44,F-box only protein 44
O75145,PPFIA3,Liprin-alpha-3
Q9UKI8,TLK1,Serine/threonine-protein kinase tousled-like 1
O75335,PPFIA4,Liprin-alpha-4
O14795,UNC13B,Protein unc-13 homolog B
Q9HCE0,EPG5,Ectopic P granules protein 5 homolog
P21781,FGF7,Fibroblast growth factor 7
Q92876,KLK6,Kallikrein-6
P61952,GNG11,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11
Q5VYP0,SPATA31A3,Spermatogenesis-associated protein 31A3
Q969Q4,ARL11,ADP-ribosylation factor-like protein 11
Q8WU39,MZB1,Marginal zone B- and B1-cell-specific protein
P28698,MZF1,Myeloid zinc finger 1
Q8WXI3,ASB10,Ankyrin repeat and SOCS box protein 10
Q9BSR8,YIPF4,Protein YIPF4
Q5QJ74,TBCEL,Tubulin-specific chaperone cofactor E-like protein
Q9UIA0,CYTH4,Cytohesin-4
Q7L4P6,BEND5,BEN domain-containing protein 5
Q8IVL0,NAV3,Neuron navigator 3
Q8IW92,GLB1L2,Beta-galactosidase-1-like protein 2
Q15651,HMGN3,High mobility group nucleosome-binding domain-containing protein 3
Q96K12,FAR2,Fatty acyl-CoA reductase 2
Q8WWY7,WFDC12,WAP four-disulfide core domain protein 12
Q07326,PIGF,Phosphatidylinositol-glycan biosynthesis class F protein
P01562,IFNA13,Interferon alpha-1/13
Q9BQS7,HEPH,Hephaestin
Q96MX0,CMTM3,CKLF-like MARVEL transmembrane domain-containing protein 3
Q8NGY3,OR6K3,Olfactory receptor 6K3
Q9UBY5,LPAR3,Lysophosphatidic acid receptor 3
O14493,CLDN4,Claudin-4
Q8IYE0,CCDC146,Coiled-coil domain-containing protein 146
P42785,PRCP,Lysosomal Pro-X carboxypeptidase
Q96G61,NUDT11,Diphosphoinositol polyphosphate phosphohydrolase 3-beta
P0C7P4,UQCRFS1P1,Putative cytochrome b-c1 complex subunit Rieske-like protein 1
Q969R8,ITFG2,KICSTOR complex protein ITFG2
Q8N9I0,SYT2,Synaptotagmin-2
Q09MP3,RAD51AP2,RAD51-associated protein 2
Q9H2T7,RANBP17,Ran-binding protein 17
Q9BVK8,TMEM147,BOS complex subunit TMEM147
O60663,LMX1B,LIM homeobox transcription factor 1-beta
P22079,LPO,Lactoperoxidase
Q9NXT0,ZNF586,Zinc finger protein 586
Q86TE4,LUZP2,Leucine zipper protein 2
Q9UPZ3,HPS5,BLOC-2 complex member HPS5
Q53FE4,C4orf17,Uncharacterized protein C4orf17
Q9Y6Q2,STON1,Stonin-1
Q9P218,COL20A1,Collagen alpha-1(XX) chain
P59510,ADAMTS20,A disintegrin and metalloproteinase with thrombospondin motifs 20
Q8NEG7,DENND6B,Protein DENND6B
P26717,KLRC2,NKG2-C type II integral membrane protein
Q9NPI8,FANCF,Fanconi anemia group F protein
P56282,POLE2,DNA polymerase epsilon subunit 2
Q6UXA7,C6orf15,Uncharacterized protein C6orf15
O43525,KCNQ3,Potassium voltage-gated channel subfamily KQT member 3
Q8IX21,SLF2,SMC5-SMC6 complex localization factor protein 2
Q9NW38,FANCL,E3 ubiquitin-protein ligase FANCL
Q9NZ08,ERAP1,Endoplasmic reticulum aminopeptidase 1
O43680,TCF21,Transcription factor 21
Q99929,ASCL2,Achaete-scute homolog 2
O95231,VENTX,Homeobox protein VENTX
Q9NR83,SLC2A4RG,SLC2A4 regulator
Q8TBY8,PMFBP1,Polyamine-modulated factor 1-binding protein 1
Q9H9P2,CHODL,Chondrolectin
Q96RN1,SLC26A8,Testis anion transporter 1
Q8N184,ZNF567,Zinc finger protein 567
Q92521,PIGB,GPI mannosyltransferase 3
O43679,LDB2,LIM domain-binding protein 2
Q9BXX0,EMILIN2,EMILIN-2
A4D1E1,ZNF804B,Zinc finger protein 804B
Q8IXZ2,ZC3H3,Zinc finger CCCH domain-containing protein 3
Q8NFL0,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
Q96N20,ZNF75A,Zinc finger protein 75A
Q9BSY9,DESI2,Deubiquitinase DESI2
Q9BT22,ALG1,Chitobiosyldiphosphodolichol beta-mannosyltransferase
Q9H4S2,GSX1,GS homeobox 1
Q00975,CACNA1B,Voltage-dependent N-type calcium channel subunit alpha-1B
Q9H0V1,TMEM168,Transmembrane protein 168
Q5BJH2,TMEM128,Transmembrane protein 128
P35548,MSX2,Homeobox protein MSX-2
Q8TEA8,DTD1,D-aminoacyl-tRNA deacylase 1
Q9Y3B8,REXO2,"Oligoribonuclease, mitochondrial"
Q92928,RAB1C,Putative Ras-related protein Rab-1C
Q86XD8,ZFAND4,AN1-type zinc finger protein 4
Q9BX97,PLVAP,Plasmalemma vesicle-associated protein
Q6JVE5,LCN12,Epididymal-specific lipocalin-12
Q9UN73,PCDHA6,Protocadherin alpha-6
Q9UIL4,KIF25,Kinesin-like protein KIF25
Q8TEQ8,PIGO,GPI ethanolamine phosphate transferase 3
Q92954,PRG4,Proteoglycan 4
O15296,ALOX15B,Polyunsaturated fatty acid lipoxygenase ALOX15B
Q13075,NAIP,Baculoviral IAP repeat-containing protein 1
Q9NQX7,ITM2C,Integral membrane protein 2C
Q9Y5E6,PCDHB3,Protocadherin beta-3
Q9H3U7,SMOC2,SPARC-related modular calcium-binding protein 2
O94779,CNTN5,Contactin-5
Q86UU5,GGN,Gametogenetin
Q9NQQ7,SLC35C2,Solute carrier family 35 member C2
O43173,ST8SIA3,"Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3"
Q9Y466,NR2E1,Nuclear receptor subfamily 2 group E member 1
Q96BM1,ANKRD9,Ankyrin repeat domain-containing protein 9
O14817,TSPAN4,Tetraspanin-4
P01282,VIP,VIP peptides
Q96MN5,TCEANC2,Transcription elongation factor A N-terminal and central domain-containing protein 2
Q9HBU6,ETNK1,Ethanolamine kinase 1
P08133,ANXA6,Annexin A6
Q4V321,GAGE13,G antigen 13
Q15697,ZNF174,Zinc finger protein 174
Q9H3H5,DPAGT1,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
A6QL64,ANKRD36,Ankyrin repeat domain-containing protein 36A
Q99676,ZNF184,Zinc finger protein 184
Q9BVM2,DPCD,Protein DPCD
Q12860,CNTN1,Contactin-1
Q53HV7,SMUG1,Single-strand selective monofunctional uracil DNA glycosylase
Q6ZN19,ZNF841,Zinc finger protein 841
Q9P2J3,KLHL9,Kelch-like protein 9
Q9HA72,CALHM2,Calcium homeostasis modulator protein 2
Q2VY69,ZNF284,Zinc finger protein 284
Q8N539,FIBCD1,Fibrinogen C domain-containing protein 1
O95424,DEXI,Dexamethasone-induced protein
Q8WUZ0,BCL7C,B-cell CLL/lymphoma 7 protein family member C
Q2TAL6,VWC2,Brorin
Q5BKX6,SLC45A4,Solute carrier family 45 member 4
Q6EKJ0,GTF2IRD2B,General transcription factor II-I repeat domain-containing protein 2B
Q15726,KISS1,Metastasis-suppressor KiSS-1
Q8NEV8,EXPH5,Exophilin-5
Q7Z2Y5,NRK,Nik-related protein kinase
Q5T197,DCST1,E3 ubiquitin-protein ligase DCST1
Q9BRT2,UQCC2,Ubiquinol-cytochrome c reductase complex assembly factor 2
Q7Z2Z1,TICRR,Treslin
Q6ZVD7,STOX1,Storkhead-box protein 1
Q8TE01,derp12,dihydrolipoyl dehydrogenase
P20827,EFNA1,Ephrin-A1
Q3SXZ7,TTLL9,Probable tubulin polyglutamylase TTLL9
Q86TB9,PATL1,Protein PAT1 homolog 1
Q9BXJ2,C1QTNF7,Complement C1q tumor necrosis factor-related protein 7
O60494,CUBN,Cubilin
Q3LI59,KRTAP21-2,Keratin-associated protein 21-2
O00194,RAB27B,Ras-related protein Rab-27B
Q9BVK2,ALG8,"Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase"
Q9Y6I8,PXMP4,Peroxisomal membrane protein 4
Q9NP80,PNPLA8,Calcium-independent phospholipase A2-gamma
Q96FE7,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1
Q16538,GPR162,Probable G-protein coupled receptor 162
Q14728,MFSD10,Major facilitator superfamily domain-containing protein 10
Q9H299,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3
A8MT69,CENPX,Centromere protein X
Q6ZMR5,TMPRSS11A,Transmembrane protease serine 11A
P57071,PRDM15,PR domain zinc finger protein 15
Q13510,ASAH1,Acid ceramidase
A0PG75,PLSCR5,Phospholipid scramblase family member 5
Q8TC92,ENOX1,Ecto-NOX disulfide-thiol exchanger 1
Q2KHR2,RFX7,DNA-binding protein RFX7
Q99594,TEAD3,Transcriptional enhancer factor TEF-5
P27987,ITPKB,Inositol-trisphosphate 3-kinase B
Q9GZN7,ROGDI,Protein rogdi homolog
Q9HBT6,CDH20,Cadherin-20
A1KZ92,PXDNL,Probable oxidoreductase PXDNL
Q4L180,FILIP1L,Filamin A-interacting protein 1-like
Q8IUC4,RHPN2,Rhophilin-2
Q14147,DHX34,Probable ATP-dependent RNA helicase DHX34
O60337,MARCHF6,E3 ubiquitin-protein ligase MARCHF6
Q8N0Z6,TTC5,Tetratricopeptide repeat protein 5
Q9H1Z4,WDR13,WD repeat-containing protein 13
Q6GMX4,IGL@,None
Q9Y316,MEMO1,Protein MEMO1
Q9NQ38,SPINK5,Serine protease inhibitor Kazal-type 5
Q8WUB2,FAM216A,Protein FAM216A
A0PJK1,SLC5A10,Sodium/mannose cotransporter SLC5A10
Q53S33,BOLA3,BolA-like protein 3
P55056,APOC4,Apolipoprotein C-IV
Q96DN0,ERP27,Endoplasmic reticulum resident protein 27
P20701,ITGAL,Integrin alpha-L
Q9H426,RIMS4,Regulating synaptic membrane exocytosis protein 4
Q4G176,ACSF3,"Malonate--CoA ligase ACSF3, mitochondrial"
P31941,APOBEC3A,DNA dC->dU-editing enzyme APOBEC-3A
O14633,LCE2B,Late cornified envelope protein 2B
Q92686,NRGN,Neurogranin
A6NIX2,WTIP,Wilms tumor protein 1-interacting protein
Q96DB5,RMDN1,Regulator of microtubule dynamics protein 1
O75952,CABYR,Calcium-binding tyrosine phosphorylation-regulated protein
Q12864,CDH17,Cadherin-17
B0FP48,UPK3BL1,Uroplakin-3b-like protein 1
P50895,BCAM,Basal cell adhesion molecule
Q6XYB7,LBX2,Transcription factor LBX2
Q8N6U8,GPR161,G-protein coupled receptor 161
Q9H6R3,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial"
Q8N205,SYNE4,Nesprin-4
Q8N0Z2,ABRA,Actin-binding Rho-activating protein
Q6UXN7,TOMM20L,TOMM20-like protein 1
Q9Y548,YIPF1,Protein YIPF1
Q5XKE5,KRT79,"Keratin, type II cytoskeletal 79"
Q96NK8,NEUROD6,Neurogenic differentiation factor 6
O75398,DEAF1,Deformed epidermal autoregulatory factor 1 homolog
Q5JVG8,ZNF506,Zinc finger protein 506
O15090,ZNF536,Zinc finger protein 536
O76009,KRT33A,"Keratin, type I cuticular Ha3-I"
Q6WBX8,RAD9B,Cell cycle checkpoint control protein RAD9B
Q9HC56,PCDH9,Protocadherin-9
Q9NR81,ARHGEF3,Rho guanine nucleotide exchange factor 3
P00352,ALDH1A1,Aldehyde dehydrogenase 1A1
Q8WWA1,TMEM40,Transmembrane protein 40
Q9NSB2,KRT84,"Keratin, type II cuticular Hb4"
P22415,USF1,Upstream stimulatory factor 1
O75072,FKTN,Ribitol-5-phosphate transferase FKTN
Q6PI98,INO80C,INO80 complex subunit C
Q9NTN3,SLC35D1,Nucleotide sugar transporter SLC35D1
Q16649,NFIL3,Nuclear factor interleukin-3-regulated protein
Q00444,HOXC5,Homeobox protein Hox-C5
P03973,SLPI,Antileukoproteinase
Q3SXM5,HSDL1,Inactive hydroxysteroid dehydrogenase-like protein 1
P17026,ZNF22,Zinc finger protein 22
O60755,GALR3,Galanin receptor type 3
Q8NG98,OR7D4,Olfactory receptor 7D4
Q14149,MORC3,MORC family CW-type zinc finger protein 3
Q8TE96,DQX1,ATP-dependent RNA helicase DQX1
Q5SYC1,CLVS2,Clavesin-2
Q96DR8,MUCL1,Mucin-like protein 1
Q9Y5L3,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2
O77932,DXO,Decapping and exoribonuclease protein
P13535,MYH8,Myosin-8
P52746,ZNF142,Zinc finger protein 142
O60241,ADGRB2,Adhesion G protein-coupled receptor B2
Q6GPH6,ITPRIPL1,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1"
P19652,ORM2,Alpha-1-acid glycoprotein 2
Q7Z4H7,HAUS6,HAUS augmin-like complex subunit 6
O15541,RNF113A,E3 ubiquitin-protein ligase RNF113A
Q12908,SLC10A2,Ileal sodium/bile acid cotransporter
O75290,ZNF780A,Zinc finger protein 780A
P09693,CD3G,T-cell surface glycoprotein CD3 gamma chain
O43808,SLC25A17,Peroxisomal membrane protein PMP34
Q7Z5Q5,POLN,DNA polymerase nu
Q96JJ6,JPH4,Junctophilin-4
Q96L94,SNX22,Sorting nexin-22
Q9UBP4,DKK3,Dickkopf-related protein 3
Q8N271,PROM2,Prominin-2
Q6ZSC3,RBM43,RNA-binding protein 43
A2PYH4,HFM1,Probable ATP-dependent DNA helicase HFM1
Q96MT3,PRICKLE1,Prickle-like protein 1
O94993,SOX30,Transcription factor SOX-30
Q96EX2,RNFT2,E3 ubiquitin-protein ligase RNFT2
Q8NH57,OR52P1,Olfactory receptor 52P1
Q96IU2,ZBED3,Zinc finger BED domain-containing protein 3
Q9Y3Q3,TMED3,Transmembrane emp24 domain-containing protein 3
A8MTJ3,GNAT3,Guanine nucleotide-binding protein G(t) subunit alpha-3
O94989,ARHGEF15,Rho guanine nucleotide exchange factor 15
Q08462,ADCY2,Adenylate cyclase type 2
Q99457,NAP1L3,Nucleosome assembly protein 1-like 3
Q9Y328,NSG2,Neuronal vesicle trafficking-associated protein 2
E5RJM6,ANKRD65,Ankyrin repeat domain-containing protein 65
Q5VX52,SPATA1,Spermatogenesis-associated protein 1
Q96LY2,CCDC74B,Coiled-coil domain-containing protein 74B
O95872,GPANK1,G patch domain and ankyrin repeat-containing protein 1
Q9HAJ7,SAP30L,Histone deacetylase complex subunit SAP30L
Q9UNW1,MINPP1,Multiple inositol polyphosphate phosphatase 1
P0C7U0,ELFN1,Protein ELFN1
Q9UBC7,GALP,Galanin-like peptide
O95139,NDUFB6,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
Q9ULI2,RIMKLB,Beta-citrylglutamate synthase B
Q15784,NEUROD2,Neurogenic differentiation factor 2
Q8N3I7,BBS5,BBSome complex member BBS5
O75841,UPK1B,Uroplakin-1b
Q00169,PITPNA,Phosphatidylinositol transfer protein alpha isoform
O75015,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B
Q7L8S5,OTUD6A,OTU domain-containing protein 6A
Q9P086,MED11,Mediator of RNA polymerase II transcription subunit 11
Q9UBX8,B4GALT6,"Beta-1,4-galactosyltransferase 6"
O60308,CEP104,Centrosomal protein of 104 kDa
Q9P2Q2,FRMD4A,FERM domain-containing protein 4A
Q6PDA7,SPAG11A,Sperm-associated antigen 11A
Q9UM82,SPATA2,Spermatogenesis-associated protein 2
Q9NXH8,TOR4A,Torsin-4A
Q92537,SUSD6,Sushi domain-containing protein 6
Q86VY4,TSPYL5,Testis-specific Y-encoded-like protein 5
Q16775,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial"
Q99627,COPS8,COP9 signalosome complex subunit 8
Q9Y615,ACTL7A,Actin-like protein 7A
Q8WZ75,ROBO4,Roundabout homolog 4
Q9GZU2,PEG3,Paternally-expressed gene 3 protein
Q8WUP2,FBLIM1,Filamin-binding LIM protein 1
Q93075,TATDN2,Putative deoxyribonuclease TATDN2
P41968,MC3R,Melanocortin receptor 3
Q16589,CCNG2,Cyclin-G2
Q86U10,ASPG,60 kDa lysophospholipase
Q96T55,KCNK16,Potassium channel subfamily K member 16
Q8N4B1,PHETA1,Sesquipedalian-1
Q5VV43,KIAA0319,Dyslexia-associated protein KIAA0319
P06307,CCK,Cholecystokinin
Q6IQ32,ADNP2,Activity-dependent neuroprotector homeobox protein 2
Q86Y25,ZNF354C,Zinc finger protein 354C
Q9P2E3,ZNFX1,NFX1-type zinc finger-containing protein 1
Q9NQE9,HINT3,Adenosine 5'-monophosphoramidase HINT3
P22466,GAL,Galanin peptides
Q8NG48,LINS1,Protein Lines homolog 1
Q8WYP3,RIN2,Ras and Rab interactor 2
P17927,CR1,Complement receptor type 1
Q9Y5P6,GMPPB,Mannose-1-phosphate guanylyltransferase catalytic subunit beta
Q9Y5W8,SNX13,Sorting nexin-13
Q9NZF1,PLAC8,Placenta-specific gene 8 protein
Q96JF6,ZNF594,Zinc finger protein 594
Q6SZW1,SARM1,NAD(+) hydrolase SARM1
Q96MH7,C5orf34,Uncharacterized protein C5orf34
Q15329,E2F5,Transcription factor E2F5
Q9Y2G7,ZFP30,Zinc finger protein 30 homolog
O15015,ZNF646,Zinc finger protein 646
Q7Z6G8,ANKS1B,Ankyrin repeat and sterile alpha motif domain-containing protein 1B
Q6ZMY3,SPOCD1,SPOC domain-containing protein 1
Q68CQ7,GLT8D1,Glycosyltransferase 8 domain-containing protein 1
Q8NA31,TERB1,Telomere repeats-binding bouquet formation protein 1
O60309,LRRC37A3,Leucine-rich repeat-containing protein 37A3
Q9BQL6,FERMT1,Fermitin family homolog 1
Q8WVY7,UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1
P48145,NPBWR1,Neuropeptides B/W receptor type 1
Q9ULB1,NRXN1,Neurexin-1
P50479,PDLIM4,PDZ and LIM domain protein 4
Q14542,SLC29A2,Equilibrative nucleoside transporter 2
Q6AI12,ANKRD40,Ankyrin repeat domain-containing protein 40
Q8N5U1,MS4A15,Membrane-spanning 4-domains subfamily A member 15
P30039,PBLD,Phenazine biosynthesis-like domain-containing protein
Q6NXG1,ESRP1,Epithelial splicing regulatory protein 1
Q9BRR8,GPATCH1,G patch domain-containing protein 1
Q7L7L0,H2AC25,Histone H2A type 3
Q9BXU8,FTHL17,Ferritin heavy polypeptide-like 17
Q8NI51,CTCFL,Transcriptional repressor CTCFL
Q9H981,ACTR8,Actin-related protein 8
Q2TAA5,ALG11,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase"
Q7Z6J9,TSEN54,tRNA-splicing endonuclease subunit Sen54
Q8WXI7,MUC16,Mucin-16
P49221,TGM4,Protein-glutamine gamma-glutamyltransferase 4
Q9BZ71,PITPNM3,Membrane-associated phosphatidylinositol transfer protein 3
P51687,SUOX,"Sulfite oxidase, mitochondrial"
Q5VW00,DCAF12L2,DDB1- and CUL4-associated factor 12-like protein 2
Q9P2W3,GNG13,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13
Q96MF6,COQ10A,"Coenzyme Q-binding protein COQ10 homolog A, mitochondrial"
Q9HCK0,ZBTB26,Zinc finger and BTB domain-containing protein 26
Q6S9Z5,ZNF474,Zinc finger protein 474
Q9NP70,AMBN,Ameloblastin
O15072,ADAMTS3,A disintegrin and metalloproteinase with thrombospondin motifs 3
O15245,SLC22A1,Solute carrier family 22 member 1
P51956,NEK3,Serine/threonine-protein kinase Nek3
P98173,FAM3A,Protein FAM3A
Q8IVQ6,ZDHHC21,Palmitoyltransferase ZDHHC21
Q8WTR2,DUSP19,Dual specificity protein phosphatase 19
Q16661,GUCA2B,Guanylate cyclase activator 2B
Q9H900,ZWILCH,Protein zwilch homolog
P60371,KRTAP10-6,Keratin-associated protein 10-6
Q08174,PCDH1,Protocadherin-1
Q9UKN5,PRDM4,PR domain zinc finger protein 4
A6NKB5,PCNX2,Pecanex-like protein 2
Q8WV48,CCDC107,Coiled-coil domain-containing protein 107
Q8NF63,FLJ00318,None
Q9Y6N6,LAMC3,Laminin subunit gamma-3
Q9H0C2,SLC25A31,ADP/ATP translocase 4
Q9Y234,LIPT1,"Lipoyl amidotransferase LIPT1, mitochondrial"
O60423,ATP8B3,Phospholipid-transporting ATPase IK
O75792,RNASEH2A,Ribonuclease H2 subunit A
Q96BY6,DOCK10,Dedicator of cytokinesis protein 10
Q49AG3,ZBED5,Zinc finger BED domain-containing protein 5
O95206,PCDH8,Protocadherin-8
Q99527,GPER1,G-protein coupled estrogen receptor 1
Q717R9,CYS1,Cystin-1
Q6UXI9,NPNT,Nephronectin
Q86UU1,PHLDB1,Pleckstrin homology-like domain family B member 1
Q96ND0,FAM210A,Protein FAM210A
A5PLN7,FAM149A,Protein FAM149A
Q8WWH4,ASZ1,"Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1"
